code,char,block,index,child,source,cell,runtime_texture,base,confidence,notes
0x01f6,て,hiragana,37,2,codeJAP14x14_02_,3,0x040e0400,0x01f3,seeded,matches existing seed point
0x01f7,で,hiragana,38,2,codeJAP14x14_02_,4,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f8,と,hiragana,39,2,codeJAP14x14_02_,5,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01f9,ど,hiragana,40,2,codeJAP14x14_02_,6,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fa,な,hiragana,41,2,codeJAP14x14_02_,7,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fb,に,hiragana,42,2,codeJAP14x14_02_,8,0x040e0400,0x01f3,seeded,matches existing seed point
0x01fc,ぬ,hiragana,43,2,codeJAP14x14_02_,9,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fd,ね,hiragana,44,2,codeJAP14x14_02_,10,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x01fe,の,hiragana,45,2,codeJAP14x14_02_,11,0x040e0400,0x01f3,seeded,matches existing seed point
0x01ff,は,hiragana,46,2,codeJAP14x14_02_,12,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0200,ば,hiragana,47,2,codeJAP14x14_02_,13,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0201,ぱ,hiragana,48,2,codeJAP14x14_02_,14,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0202,ひ,hiragana,49,2,codeJAP14x14_02_,15,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0203,び,hiragana,50,2,codeJAP14x14_02_,16,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0204,ぴ,hiragana,51,2,codeJAP14x14_02_,17,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0205,ふ,hiragana,52,2,codeJAP14x14_02_,18,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0206,ぶ,hiragana,53,2,codeJAP14x14_02_,19,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0207,ぷ,hiragana,54,2,codeJAP14x14_02_,20,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0208,へ,hiragana,55,2,codeJAP14x14_02_,21,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0209,べ,hiragana,56,2,codeJAP14x14_02_,22,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x020a,ぺ,hiragana,57,2,codeJAP14x14_02_,23,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x020b,ほ,hiragana,58,2,codeJAP14x14_02_,24,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x020c,ぼ,hiragana,59,2,codeJAP14x14_02_,25,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x020d,ぽ,hiragana,60,2,codeJAP14x14_02_,26,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x020e,ま,hiragana,61,2,codeJAP14x14_02_,27,0x040e0400,0x01f3,seeded,matches existing seed point
0x020f,み,hiragana,62,2,codeJAP14x14_02_,28,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0210,む,hiragana,63,2,codeJAP14x14_02_,29,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0211,め,hiragana,64,2,codeJAP14x14_02_,30,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0212,も,hiragana,65,2,codeJAP14x14_02_,31,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0213,ゃ,hiragana,66,2,codeJAP14x14_02_,32,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0214,や,hiragana,67,2,codeJAP14x14_02_,33,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0215,ゅ,hiragana,68,2,codeJAP14x14_02_,34,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0216,ゆ,hiragana,69,2,codeJAP14x14_02_,35,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0217,ょ,hiragana,70,2,codeJAP14x14_02_,36,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0218,よ,hiragana,71,2,codeJAP14x14_02_,37,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0219,ら,hiragana,72,2,codeJAP14x14_02_,38,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x021a,り,hiragana,73,2,codeJAP14x14_02_,39,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x021b,る,hiragana,74,2,codeJAP14x14_02_,40,0x040e0400,0x01f3,seeded,matches existing seed point
0x021c,れ,hiragana,75,2,codeJAP14x14_02_,41,0x040e0400,0x01f3,seeded,matches existing seed point
0x021d,ろ,hiragana,76,2,codeJAP14x14_02_,42,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x021e,ゎ,hiragana,77,2,codeJAP14x14_02_,43,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x021f,わ,hiragana,78,2,codeJAP14x14_02_,44,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0220,ゐ,hiragana,79,2,codeJAP14x14_02_,45,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0221,ゑ,hiragana,80,2,codeJAP14x14_02_,46,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0222,を,hiragana,81,2,codeJAP14x14_02_,47,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0223,ん,hiragana,82,2,codeJAP14x14_02_,48,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0224,ァ,katakana,0,2,codeJAP14x14_02_,49,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0225,ア,katakana,1,2,codeJAP14x14_02_,50,0x040e0400,0x01f3,seeded,matches existing seed point
0x0226,ィ,katakana,2,2,codeJAP14x14_02_,51,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0227,イ,katakana,3,2,codeJAP14x14_02_,52,0x040e0400,0x01f3,seeded,matches existing seed point
0x0228,ゥ,katakana,4,2,codeJAP14x14_02_,53,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0229,ウ,katakana,5,2,codeJAP14x14_02_,54,0x040e0400,0x01f3,seeded,matches existing seed point
0x022a,ェ,katakana,6,2,codeJAP14x14_02_,55,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x022b,エ,katakana,7,2,codeJAP14x14_02_,56,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x022c,ォ,katakana,8,2,codeJAP14x14_02_,57,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x022d,オ,katakana,9,2,codeJAP14x14_02_,58,0x040e0400,0x01f3,seeded,matches existing seed point
0x022e,カ,katakana,10,2,codeJAP14x14_02_,59,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x022f,ガ,katakana,11,2,codeJAP14x14_02_,60,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0230,キ,katakana,12,2,codeJAP14x14_02_,61,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0231,ギ,katakana,13,2,codeJAP14x14_02_,62,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
0x0232,ク,katakana,14,2,codeJAP14x14_02_,63,0x040e0400,0x01f3,inferred,inferred from contiguous JIS kana order and confirmed runtime base ranges
